ID,TOPSIS_Score,TOPSIS_Rank,ML_Score,Final_Score,Final_Rank,Classe_predite,Moyenne,Alternance,Licence_EDN,Diplome_norm,Niveau_Math
404,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
723,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
732,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
400,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
392,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
796,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
808,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
641,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
160,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
149,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
124,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
593,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
638,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
303,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
767,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
292,0.15999661559115314,800,0.010594,0.100236,800,Non_classe,0.0,0.0,0.0,1.0,0.0
